x1,x2,x3,x4,t
1.000000,1.000000,1.000000,1.000000,0.000000
1.012567,1.259918,0.984891,0.984750,0.010000
1.048824,1.523997,0.973114,0.972277,0.020000
1.107209,1.798310,0.965159,0.962566,0.030000
1.186868,2.088540,0.961737,0.955696,0.040000
1.287557,2.400154,0.963806,0.951847,0.050000
1.409571,2.738546,0.972608,0.951319,0.060000
1.553690,3.109154,0.989731,0.954558,0.070000
1.721146,3.517569,1.017187,0.962204,0.080000
1.913596,3.969615,1.057512,0.975150,0.090000
2.133107,4.471411,1.113899,0.994637,0.100000
2.382146,5.029415,1.190354,1.022385,0.110000
2.663581,5.650438,1.291893,1.060771,0.120000
2.980668,6.341615,1.424787,1.113087,0.130000
3.337045,7.110331,1.596843,1.183889,0.140000
3.736716,7.964065,1.817757,1.279480,0.150000
4.184007,8.910141,2.099503,1.408568,0.160000
4.683507,9.955333,2.456794,1.583147,0.170000
5.239967,11.105288,2.907557,1.819662,0.180000
5.858133,12.363697,3.473431,2.140526,0.190000
6.542513,13.731149,4.180191,2.576011,0.200000
7.297030,15.203592,5.058021,3.166535,0.210000
8.124546,16.770340,6.141457,3.965235,0.220000
9.026215,18.411601,7.468781,5.040551,0.230000
10.000639,20.095576,9.080531,6.478269,0.240000
11.042823,21.775358,11.016741,8.382024,0.250000
12.142932,23.386068,13.312491,10.870750,0.260000
13.284945,24.843036,15.991439,14.071061,0.270000
14.445350,26.042196,19.057333,18.102301,0.280000
15.592182,26.864169,22.484125,23.052718,0.290000
16.684763,27.183473,26.206297,28.947262,0.300000
17.674639,26.883606,30.112135,35.711502,0.310000
18.508113,25.877106,34.043549,43.141312,0.320000
19.130568,24.127303,37.805809,50.892070,0.330000
19.492306,21.666040,41.188556,58.500468,0.340000
19.555041,18.600674,43.995692,65.443643,0.350000
19.297723,15.105561,46.077475,71.225471,0.360000
18.720212,11.397976,47.355669,75.465492,0.370000
17.843776,7.704258,47.833954,77.961531,0.380000
16.708234,4.225761,47.590768,78.706933,0.390000
15.366499,1.113758,46.758015,77.862235,0.400000
13.877914,-1.541669,45.493324,75.697735,0.410000
12.301848,-3.709144,43.953982,72.529531,0.420000
10.692619,-5.404206,42.278057,68.666851,0.430000
9.096259,-6.673702,40.574463,64.378756,0.440000
7.549065,-7.580829,38.920797,59.879639,0.450000
6.077562,-8.193378,37.366355,55.328391,0.460000
4.699412,-8.575906,35.937698,50.835238,0.470000
3.424793,-8.785421,34.644780,46.471524,0.480000
2.257933,-8.869676,33.486466,42.279513,0.490000
1.198565,-8.867139,32.454933,38.280803,0.500000
0.243204,-8.807869,31.538891,34.482921,0.510000
-0.613809,-8.714782,30.725777,30.884201,0.520000
-1.379484,-8.604971,30.003125,27.477236,0.530000
-2.061556,-8.490928,29.359360,24.251256,0.540000
-2.668036,-8.381581,28.784187,21.193710,0.550000
-3.206883,-8.283145,28.268732,18.291306,0.560000
-3.685788,-8.199790,27.805518,15.530670,0.570000
-4.112029,-8.134157,27.388370,12.898750,0.580000
-4.492383,-8.087756,27.012268,10.383060,0.590000
-4.833087,-8.061258,26.673195,7.971808,0.600000
-5.139813,-8.054717,26.367986,5.653957,0.610000
-5.417679,-8.067734,26.094186,3.419237,0.620000
-5.671259,-8.099574,25.849929,1.258133,0.630000
-5.904609,-8.149253,25.633827,-0.838142,0.640000
-6.121297,-8.215599,25.444877,-2.877684,0.650000
-6.324432,-8.297294,25.282381,-4.867940,0.660000
-6.516695,-8.392906,25.145876,-6.815747,0.670000
-6.700372,-8.500900,25.035076,-8.727367,0.680000
-6.877380,-8.619656,24.949817,-10.608519,0.690000
-7.049297,-8.747471,24.890011,-12.464406,0.700000
-7.217384,-8.882564,24.855604,-14.299730,0.710000
-7.382608,-9.023073,24.846531,-16.118707,0.720000
-7.545665,-9.167060,24.862684,-17.925069,0.730000
-7.706993,-9.312511,24.903871,-19.722055,0.740000
-7.866798,-9.457341,24.969780,-21.512404,0.750000
-8.025060,-9.599402,25.059945,-23.298329,0.760000
-8.181559,-9.736496,25.173713,-25.081495,0.770000
-8.335880,-9.866394,25.310211,-26.862984,0.780000
-8.487438,-9.986859,25.468319,-28.643261,0.790000
-8.635492,-10.095676,25.646646,-30.422138,0.800000
-8.779161,-10.190688,25.843510,-32.198742,0.810000
-8.917448,-10.269842,26.056927,-33.971484,0.820000
-9.049262,-10.331230,26.284609,-35.738042,0.830000
-9.173446,-10.373147,26.523971,-37.495359,0.840000
